x_sm = -0.018396961234165985, y_sm = 0.007810081117985282, i = 2, j = 1
x_sm = -0.01873686990327454, y_sm = -0.006955232271368151, i = 2, j = 1
x_sm = -0.034259133615211664, y_sm = 0.008549595067060302, i = 2, j = 2
x_sm = -0.03444025007188086, y_sm = 0.0077880027517931725, i = 2, j = 2
x_sm = 0.03386157484711582, y_sm = -0.010008874099957536, i = 2, j = 2
x_sm = -0.01830273842882889, y_sm = 0.03019591988798317, i = 2, j = 2
x_sm = -0.031974515718751116, y_sm = 0.01498045915274179, i = 2, j = 2
x_sm = -0.005550737122627507, y_sm = -0.034870806260697676, i = 2, j = 2
x_sm = -0.013972713971821744, y_sm = 0.03242756660832393, i = 2, j = 2
x_sm = -0.0316083503546149, y_sm = 0.015738360770281748, i = 2, j = 2
x_sm = -0.027518915972569592, y_sm = -0.022124490402499253, i = 2, j = 2
x_sm = -0.009496218709793475, y_sm = 0.003685751459312504, i = 2, j = 3
x_sm = -0.009406709994160063, y_sm = 0.003908547132864725, i = 2, j = 3
x_sm = -0.008943935793664629, y_sm = 0.004875340616086281, i = 2, j = 3
x_sm = -0.007781926396289106, y_sm = 0.006573017204206509, i = 2, j = 3
x_sm = -0.009279787569636825, y_sm = 0.004201008958151571, i = 2, j = 3
x_sm = -0.009968797516115043, y_sm = 0.002094280231190285, i = 2, j = 3
x_sm = -0.006875644931569305, y_sm = 0.00751587921530417, i = 2, j = 3
x_sm = -0.009224138424600617, y_sm = 0.0043218287712335785, i = 2, j = 3
x_sm = -0.010176967297442607, y_sm = 0.00043848629492789133, i = 2, j = 3
x_sm = -0.04253609050253011, y_sm = -0.005173718134116642, i = 3, j = 0
x_sm = 0.033096284170735644, y_sm = -0.02721621444397867, i = 3, j = 0
x_sm = 0.04025726228966412, y_sm = -0.014677846828193395, i = 3, j = 0
x_sm = -0.012330261110989737, y_sm = 0.04103719063856021, i = 3, j = 0
x_sm = -0.038277470744410916, y_sm = 0.019259324702114725, i = 3, j = 0
x_sm = 0.024699081023464697, y_sm = -0.035014878996892825, i = 3, j = 0
x_sm = -0.008906200094680423, y_sm = 0.04191379193587994, i = 3, j = 0
x_sm = -0.0377130756412465, y_sm = 0.020342327306587606, i = 3, j = 0
x_sm = -0.014431726608017892, y_sm = -0.04034614754449485, i = 3, j = 0
x_sm = -0.004585958961716569, y_sm = -0.011049834382846364, i = 3, j = 1
x_sm = -0.0022179036009974144, y_sm = -0.01175630737534388, i = 3, j = 1
x_sm = 0.0025995482578681376, y_sm = -0.011677851186836426, i = 3, j = 1
x_sm = -0.008901087059910731, y_sm = -0.007993779371409491, i = 3, j = 1
x_sm = -0.004892564590928092, y_sm = -0.010917539613414684, i = 3, j = 1
x_sm = -0.0007710703626478225, y_sm = -0.011938815267133014, i = 3, j = 1
